run_id,date,strategy,symbol,trade_id,expiration,strike_short,strike_long,entry_credit,max_risk
sim_2019-02-09_2026-05-21_29c06ed80e5a,2025-05-16,put_credit_spread,SPY,put_credit_spread_SPY_000078,2025-06-13,582.0,559.0,3.17,1983.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2025-06-13,put_credit_spread,SPY,put_credit_spread_SPY_000079,2025-07-11,585.0,550.0,4.64,3036.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2025-07-11,put_credit_spread,SPY,put_credit_spread_SPY_000080,2025-08-08,611.0,586.0,3.095,2190.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2025-07-28,put_credit_spread,SPY,put_credit_spread_SPY_000081,2025-08-22,624.0,599.0,2.44,2256.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2025-08-22,put_credit_spread,SPY,put_credit_spread_SPY_000082,2025-09-19,632.0,607.0,2.655,2234.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2025-09-19,put_credit_spread,SPY,put_credit_spread_SPY_000083,2025-10-17,650.0,624.0,2.77,2323.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2025-10-17,put_credit_spread,SPY,put_credit_spread_SPY_000084,2025-11-14,644.0,600.0,4.93,3907.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2025-10-20,put_credit_spread,SPY,put_credit_spread_SPY_000085,2025-11-14,658.0,620.0,3.92,3408.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2025-11-14,put_credit_spread,SPY,put_credit_spread_SPY_000086,2025-12-12,658.0,620.0,4.845,3315.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2025-12-12,put_credit_spread,SPY,put_credit_spread_SPY_000087,2026-01-09,668.0,640.0,3.33,2467.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2026-01-09,put_credit_spread,SPY,put_credit_spread_SPY_000088,2026-02-06,680.0,650.0,3.015,2698.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2026-02-05,put_credit_spread,SPY,put_credit_spread_SPY_000089,2026-03-06,657.0,610.0,5.525,4147.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2026-03-06,put_credit_spread,SPY,put_credit_spread_SPY_000090,2026-04-02,650.0,605.0,5.63,3937.0
sim_2019-02-09_2026-05-21_29c06ed80e5a,2026-04-02,put_credit_spread,SPY,put_credit_spread_SPY_000091,2026-04-30,636.0,590.0,6.195,3980.5
sim_2019-02-09_2026-05-21_29c06ed80e5a,2026-04-30,put_credit_spread,SPY,put_credit_spread_SPY_000092,2026-05-29,697.0,661.0,4.665,3133.5
