Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2020-11-03T21:00:00Z,"QQQ   201127P00237500",2020-11-06T21:00:00Z,Buy,2.27,0.44,1,-183,2,-200.5,0,200.5,0,"	214,224" 
2020-11-03T21:00:00Z,"GLD   201127P00173000",2020-11-06T21:00:00Z,Sell,1.9,0.5,1,140,2,0,156,16,1,"	217,225" 
2020-11-03T21:00:00Z,"GLD   201127P00165000",2020-11-06T21:00:00Z,Buy,0.54,0.11,1,-43,2,-46,0,46,0,"	218,226" 
2020-11-03T21:00:00Z,"DIA   201127P00257500",2020-11-09T21:00:00Z,Sell,4.85,1.07,1,378,2,0,443.5,65.5,1,"	215,227" 
2020-11-03T21:00:00Z,"DIA   201127P00235000",2020-11-09T21:00:00Z,Buy,1.73,0.15,1,-158,2,-161,0,161,0,"	216,228" 
2020-12-02T21:00:00Z,"SPY   201228P00335000",2020-12-29T05:00:00Z,Buy,1.31,0,1,-131,1,-131,0,131,0,"	230,241" 
2020-12-02T21:00:00Z,"SPY   201228P00356000",2020-12-29T05:00:00Z,Sell,3.91,0,1,391,1,0,391,101.5,1,"	229,242" 
2020-12-02T21:00:00Z,"DIA   201231P00270000",2021-01-01T05:00:00Z,Buy,1.12,0,1,-112,1,-112,0,112,0,"	236,243" 
2020-12-02T21:00:00Z,"DIA   201231P00289000",2021-01-01T05:00:00Z,Sell,3.5,0,1,350,1,0,350,37,1,"	235,244" 
2020-12-02T21:00:00Z,"GLD   201231P00159000",2021-01-01T05:00:00Z,Buy,0.44,0,1,-44,1,-44,0,44,0,"	238,245" 
2020-12-02T21:00:00Z,"GLD   201231P00166000",2021-01-01T05:00:00Z,Sell,1.56,0,1,156,1,0,156,44,1,"	237,246" 
2020-12-02T21:00:00Z,"IWM   201231P00161000",2021-01-01T05:00:00Z,Buy,0.9,0,1,-90,1,-90,0,90,0,"	232,247" 
2020-12-02T21:00:00Z,"IWM   201231P00175000",2021-01-01T05:00:00Z,Sell,3.12,0,1,312,1,0,312,29.5,1,"	231,248" 
2020-12-02T21:00:00Z,"QQQ   201231P00272000",2021-01-01T05:00:00Z,Buy,1.29,0,1,-129,1,-129,10,139,0,"	234,249" 
2020-12-02T21:00:00Z,"QQQ   201231P00293000",2021-01-01T05:00:00Z,Sell,4.18,0,1,418,1,-3,418,199.5,1,"	233,250" 
2021-01-05T21:00:00Z,"IWM   210129P00185000",2021-01-08T21:00:00Z,Sell,3.54,0.8,1,274,2,0,275.5,16.5,1,"	253,261" 
2021-01-05T21:00:00Z,"IWM   210129P00177000",2021-01-08T21:00:00Z,Buy,2.04,0.42,1,-162,2,-163,0,163,0,"	254,262" 
2021-01-05T21:00:00Z,"DIA   210129P00292500",2021-01-14T21:00:00Z,Sell,3.55,0.9,1,265,2,0,272,43.5,1,"	257,263" 
2021-01-05T21:00:00Z,"DIA   210129P00275000",2021-01-14T21:00:00Z,Buy,1.24,0.3,1,-94,2,-98,0,98,0,"	258,264" 
2021-01-05T21:00:00Z,"QQQ   210129P00297500",2021-01-20T21:00:00Z,Sell,5.05,1.07,1,398,2,-3,470,111.5,1,"	255,265" 
2021-01-05T21:00:00Z,"QQQ   210129P00281000",2021-01-20T21:00:00Z,Buy,2.33,0.29,1,-204,2,-220.5,0,220.5,0,"	256,266" 
2021-01-05T21:00:00Z,"SPY   210129P00357000",2021-01-21T21:00:00Z,Sell,4.05,0.38,1,367,2,0,381,52,1,"	251,267" 
2021-01-05T21:00:00Z,"SPY   210129P00341000",2021-01-21T21:00:00Z,Buy,2.41,0.15,1,-226,2,-231,0,231,0,"	252,268" 
2021-01-05T21:00:00Z,"GLD   210129P00178000",2021-01-29T21:00:00Z,Sell,1.8,5.45,1,-365,2,-550,4.5,554.5,0,"	259,269" 
2021-01-05T21:00:00Z,"GLD   210129P00170500",2021-01-29T21:00:00Z,Buy,0.49,0.2,1,-29,2,-48,212,260,0,"	260,270" 
2021-02-02T21:00:00Z,"IWM   210226P00201000",2021-02-08T21:00:00Z,Sell,3.82,0.94,1,288,2,0,319,31,1,"	273,281" 
2021-02-02T21:00:00Z,"IWM   210226P00182500",2021-02-08T21:00:00Z,Buy,1.15,0.19,1,-96,2,-100,0,100,0,"	274,282" 
2021-02-02T21:00:00Z,"QQQ   210226P00309000",2021-02-08T21:00:00Z,Sell,5.48,1.46,1,402,2,0,433,31,1,"	275,283" 
2021-02-02T21:00:00Z,"QQQ   210226P00282000",2021-02-08T21:00:00Z,Buy,1.83,0.37,1,-146,2,-149.5,0,149.5,0,"	276,284" 
2021-02-02T21:00:00Z,"SPY   210226P00363000",2021-02-09T21:00:00Z,Sell,5.45,0.99,1,446,2,0,450,29,1,"	271,285" 
2021-02-02T21:00:00Z,"SPY   210226P00340000",2021-02-09T21:00:00Z,Buy,2.38,0.31,1,-207,2,-208.5,0,208.5,0,"	272,286" 
2021-02-02T21:00:00Z,"DIA   210226P00292500",2021-02-09T21:00:00Z,Sell,4.1,0.69,1,341,2,0,359,18,1,"	277,287" 
2021-02-02T21:00:00Z,"DIA   210226P00270000",2021-02-09T21:00:00Z,Buy,1.33,0.14,1,-119,2,-119,0,119,0,"	278,288" 
2021-02-02T21:00:00Z,"GLD   210226P00170000",2021-02-26T21:00:00Z,Sell,1.55,0,1,155,1,-655,155,691,0,"	279,291" 
2021-02-02T21:00:00Z,"GLD   210226P00162500",2021-02-26T21:00:00Z,Buy,0.37,0.25,1,-12,2,-33,51,84,0,"	280,290" 
2021-02-26T21:00:00Z,"GLD   210226P00170000",2021-02-27T05:00:00Z,Buy,4.3,0,1,-430,1,-430,380,810,1,"	289,292" 
2021-02-26T21:00:00Z,"GLD",2021-02-27T05:00:00Z,Buy,170,170,100,0,0,0,0,0,0,"	291,292" 
2021-03-02T21:00:00Z,"DIA   210326P00307000",2021-03-15T20:00:00Z,Sell,3.35,0.57,1,278,2,-424,306,424,1,"	299,303" 
2021-03-02T21:00:00Z,"DIA   210326P00287500",2021-03-15T20:00:00Z,Buy,1.14,0.13,1,-101,2,-104.5,66,170.5,0,"	300,304" 
2021-03-02T21:00:00Z,"SPY   210326P00378000",2021-03-16T20:00:00Z,Sell,4.4,0.89,1,351,2,-560,353,560,1,"	293,305" 
2021-03-02T21:00:00Z,"SPY   210326P00352000",2021-03-16T20:00:00Z,Buy,1.53,0.15,1,-138,2,-139,176.5,315.5,0,"	294,306" 
2021-03-02T21:00:00Z,"IWM   210326P00216000",2021-03-16T20:00:00Z,Sell,4,0.83,1,317,2,-553,318.5,553,1,"	295,307" 
2021-03-02T21:00:00Z,"IWM   210326P00197500",2021-03-16T20:00:00Z,Buy,1.28,0.14,1,-114,2,-116,180,296,0,"	296,308" 
2021-03-02T21:00:00Z,"GLD   210326P00157500",2021-03-18T20:00:00Z,Sell,1.7,0.21,1,149,2,-99,150,142.5,1,"	301,309" 
2021-03-02T21:00:00Z,"GLD   210326P00149500",2021-03-18T20:00:00Z,Buy,0.48,0.01,1,-47,2,-47,18.5,65.5,0,"	302,310" 
2021-03-02T21:00:00Z,"QQQ   210326P00312000",2021-03-26T20:00:00Z,Sell,4.92,2.3,1,262,2,-1100.5,491,1100.5,1,"	297,311" 
2021-03-02T21:00:00Z,"QQQ   210326P00287500",2021-03-26T20:00:00Z,Buy,1.58,0.01,1,-157,2,-157,357.5,514.5,0,"	298,312" 
2021-04-05T20:00:00Z,"SPY   210426P00375000",2021-04-27T04:00:00Z,Buy,1.11,0,1,-111,1,-111,0,111,0,"	314,323" 
2021-04-05T20:00:00Z,"SPY   210426P00395000",2021-04-27T04:00:00Z,Sell,3.48,0,1,348,1,0,348,12.5,1,"	313,324" 
2021-04-05T20:00:00Z,"DIA   210430P00307500",2021-05-01T04:00:00Z,Buy,1.02,0,1,-102,1,-102,0,102,0,"	320,325" 
2021-04-05T20:00:00Z,"DIA   210430P00324000",2021-05-01T04:00:00Z,Sell,2.88,0,1,288,1,0,288,23.5,1,"	319,326" 
2021-04-05T20:00:00Z,"GLD   210430P00152500",2021-05-01T04:00:00Z,Buy,0.4,0,1,-40,1,-40,0,40,0,"	322,327" 
2021-04-05T20:00:00Z,"GLD   210430P00158500",2021-05-01T04:00:00Z,Sell,1.22,0,1,122,1,0,122,21.5,1,"	321,328" 
2021-04-05T20:00:00Z,"IWM   210430P00199000",2021-05-01T04:00:00Z,Buy,1.06,0,1,-106,1,-106,0,106,0,"	316,329" 
2021-04-05T20:00:00Z,"IWM   210430P00215000",2021-05-01T04:00:00Z,Sell,3.36,0,1,336,1,-22,336,214,1,"	315,330" 
2021-04-05T20:00:00Z,"QQQ   210430P00295000",2021-05-01T04:00:00Z,Buy,1.35,0,1,-135,1,-135,0,135,0,"	318,331" 
2021-04-05T20:00:00Z,"QQQ   210430P00314000",2021-05-01T04:00:00Z,Sell,4.07,0,1,407,1,0,407,31.5,1,"	317,332" 
2021-05-04T20:00:00Z,"GLD   210528P00165000",2021-05-11T20:00:00Z,Sell,1.09,0.38,1,71,2,-46,73,46,1,"	341,343" 
2021-05-04T20:00:00Z,"GLD   210528P00159500",2021-05-11T20:00:00Z,Buy,0.31,0.17,1,-14,2,-15,10.5,25.5,0,"	342,344" 
2021-05-04T20:00:00Z,"SPY   210528P00409000",2021-05-25T20:00:00Z,Sell,4.44,0.38,1,406,2,-508,408.5,735,1,"	333,345" 
2021-05-04T20:00:00Z,"SPY   210528P00387000",2021-05-25T20:00:00Z,Buy,1.61,0.05,1,-156,2,-156.5,182,338.5,0,"	334,346" 
