run_id,date,strategy,symbol,trade_id,expiration,strike_short,strike_long,entry_credit,max_risk
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-08-12,put_credit_spread,DIA,put_credit_spread_DIA_000072,2024-09-06,386.0,370.0,2.045,1395.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-09-09,put_credit_spread,DIA,put_credit_spread_DIA_000073,2024-10-04,401.0,385.0,2.375,1362.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-10-04,put_credit_spread,DIA,put_credit_spread_DIA_000074,2024-11-01,415.0,398.0,1.84,1516.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-10-17,put_credit_spread,DIA,put_credit_spread_DIA_000075,2024-11-15,425.0,407.0,2.52,1548.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-11-15,put_credit_spread,DIA,put_credit_spread_DIA_000076,2024-12-13,426.0,408.0,1.8,1620.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2024-12-13,put_credit_spread,DIA,put_credit_spread_DIA_000077,2025-01-10,431.0,415.0,1.705,1429.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-01-08,put_credit_spread,DIA,put_credit_spread_DIA_000078,2025-02-07,417.5,400.0,2.205,1529.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-01-24,put_credit_spread,DIA,put_credit_spread_DIA_000079,2025-02-21,435.0,417.0,1.66,1634.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-02-21,put_credit_spread,DIA,put_credit_spread_DIA_000080,2025-03-21,425.0,408.0,2.065,1493.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-03-19,put_credit_spread,DIA,put_credit_spread_DIA_000081,2025-04-17,412.0,395.0,2.725,1427.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-04-04,short_straddle,DIA,short_straddle_DIA_000082,2025-05-02,385.0,,28.625,4801.900024
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-04-15,put_credit_spread,DIA,put_credit_spread_DIA_000083,2025-05-16,390.0,355.0,3.975,3102.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-05-16,put_credit_spread,DIA,put_credit_spread_DIA_000084,2025-06-13,418.0,401.0,2.06,1494.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-06-13,put_credit_spread,DIA,put_credit_spread_DIA_000085,2025-07-11,414.0,390.0,2.875,2112.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-06-30,put_credit_spread,DIA,put_credit_spread_DIA_000086,2025-07-25,432.0,414.0,1.97,1603.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-07-25,put_credit_spread,DIA,put_credit_spread_DIA_000087,2025-08-22,440.0,422.0,1.85,1615.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-08-22,put_credit_spread,DIA,put_credit_spread_DIA_000088,2025-09-19,448.0,429.0,1.785,1721.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-09-19,put_credit_spread,DIA,put_credit_spread_DIA_000089,2025-10-17,454.0,435.0,2.005,1699.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-10-17,put_credit_spread,DIA,put_credit_spread_DIA_000090,2025-11-14,452.5,425.0,3.435,2406.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-11-14,put_credit_spread,DIA,put_credit_spread_DIA_000091,2025-12-12,462.0,435.0,3.24,2376.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2025-12-12,put_credit_spread,DIA,put_credit_spread_DIA_000092,2026-01-09,476.0,456.0,2.145,1785.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2026-01-09,put_credit_spread,DIA,put_credit_spread_DIA_000093,2026-02-06,485.0,465.0,1.985,1801.5
sim_2019-02-09_2026-05-21_138e7b4fbb82,2026-02-06,put_credit_spread,DIA,put_credit_spread_DIA_000094,2026-03-06,491.0,471.0,2.79,1721.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2026-03-04,put_credit_spread,DIA,put_credit_spread_DIA_000095,2026-03-31,475.0,449.0,3.13,2287.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2026-03-30,put_credit_spread,DIA,put_credit_spread_DIA_000096,2026-04-24,440.0,405.0,4.42,3058.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2026-04-10,put_credit_spread,DIA,put_credit_spread_DIA_000097,2026-05-08,470.0,440.0,3.64,2636.0
sim_2019-02-09_2026-05-21_138e7b4fbb82,2026-05-08,put_credit_spread,DIA,put_credit_spread_DIA_000098,2026-06-05,486.0,466.0,2.65,1735.0
