date,strategy,total_option_pnl,total_hedge_pnl,total_pnl,trade_count,cum_pnl
2021-10-19,put_credit_spread,0.0,0.0,0.0,1,4724.379303000002
2021-10-20,put_credit_spread,-101.0,0.0,-101.0,1,4623.379303000002
2021-10-21,put_credit_spread,0.0,0.0,0.0,1,4623.379303000002
2021-10-22,put_credit_spread,-9.5,0.0,-9.5,1,4613.879303000002
2021-10-25,put_credit_spread,0.0,0.0,0.0,1,4613.879303000002
2021-10-26,put_credit_spread,0.0,0.0,0.0,1,4613.879303000002
2021-10-27,put_credit_spread,0.0,0.0,0.0,1,4613.879303000002
2021-10-28,put_credit_spread,0.0,0.0,0.0,1,4613.879303000002
2021-10-29,put_credit_spread,0.0,0.0,0.0,1,4613.879303000002
2021-11-01,put_credit_spread,0.0,0.0,0.0,1,4613.879303000002
2021-11-02,put_credit_spread,0.0,0.0,0.0,1,4613.879303000002
2021-11-03,put_credit_spread,0.0,0.0,0.0,1,4613.879303000002
2021-11-04,put_credit_spread,0.0,0.0,0.0,1,4613.879303000002
2021-11-05,put_credit_spread,379.40725,0.0,379.40725,2,4993.286553000003
2021-11-08,put_credit_spread,-18.5,0.0,-18.5,1,4974.786553000003
2021-11-09,put_credit_spread,0.0,0.0,0.0,1,4974.786553000003
2021-11-10,put_credit_spread,0.0,0.0,0.0,1,4974.786553000003
2021-11-11,put_credit_spread,0.0,0.0,0.0,1,4974.786553000003
2021-11-12,put_credit_spread,0.0,0.0,0.0,1,4974.786553000003
2021-11-15,put_credit_spread,0.0,0.0,0.0,1,4974.786553000003
2021-11-16,put_credit_spread,0.0,0.0,0.0,1,4974.786553000003
2021-11-17,put_credit_spread,0.0,0.0,0.0,1,4974.786553000003
2021-11-18,put_credit_spread,0.0,0.0,0.0,1,4974.786553000003
2021-11-19,put_credit_spread,-74.5,0.0,-74.5,1,4900.286553000003
2021-11-22,put_credit_spread,42.5,0.0,42.5,1,4942.786553000003
2021-11-23,put_credit_spread,0.0,0.0,0.0,1,4942.786553000003
2021-11-24,put_credit_spread,0.0,0.0,0.0,1,4942.786553000003
2021-11-26,put_credit_spread,0.0,0.0,0.0,1,4942.786553000003
2021-11-29,put_credit_spread,0.0,0.0,0.0,1,4942.786553000003
2021-11-30,put_credit_spread,0.0,0.0,0.0,1,4942.786553000003
2021-12-01,put_credit_spread,-4.279,0.0,-4.279,2,4938.507553000002
2021-12-02,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-03,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-06,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-07,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-08,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-09,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-10,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-13,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-14,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-15,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-16,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
2021-12-17,put_credit_spread,0.0,0.0,0.0,1,4938.507553000002
