run_id,trade_id,strategy,symbol,entry_date,exit_date,entry_dte,entry_expiration,entry_credit,max_risk,exit_reason,realized_pnl,return_on_risk,days_held
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000050,put_credit_spread,DIA,2021-09-10,2021-10-08,28,2021-10-08,2.63,1737.0,EARLY_PROFIT_TARGET,261.0,0.150259,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000051,short_straddle,DIA,2021-09-15,2021-10-13,30,2021-10-15,11.1,5866.400146,PRE_EXPIRY_CLOSE,9.276829,0.001581,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000052,put_credit_spread,DIA,2021-10-08,2021-11-05,28,2021-11-05,2.73,1827.0,EARLY_PROFIT_TARGET,271.0,0.148331,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000053,short_straddle,DIA,2021-10-13,2021-11-10,30,2021-11-12,12.05,5672.800293,PRE_EXPIRY_CLOSE,-329.564517,-0.058096,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000054,put_credit_spread,DIA,2021-11-05,2021-12-01,28,2021-12-03,1.855,1164.5,ITM_NEAR_EXPIRY_ROLL,-52.618,-0.045185,26
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000055,short_straddle,DIA,2021-11-10,2021-12-08,30,2021-12-10,11.8,6041.400146,PRE_EXPIRY_CLOSE,217.84654,0.036059,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000056,put_credit_spread,DIA,2021-12-01,2021-12-31,30,2021-12-31,3.22,2578.0,EARLY_PROFIT_TARGET,320.0,0.124127,30
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000057,short_straddle,DIA,2021-12-08,2022-01-05,30,2022-01-07,12.875,5872.299805,PRE_EXPIRY_CLOSE,-2.64375,-0.00045,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000058,put_credit_spread,DIA,2021-12-31,2022-01-26,28,2022-01-28,2.305,1969.5,ITM_NEAR_EXPIRY_ROLL,63.4175,0.0322,26
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000059,short_straddle,DIA,2022-01-05,2022-02-02,30,2022-02-04,13.2,5961.799927,PRE_EXPIRY_CLOSE,-460.01986,-0.077161,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000060,put_credit_spread,DIA,2022-01-26,2022-02-25,30,2022-02-25,4.085,2591.5,EARLY_PROFIT_TARGET,406.5,0.156859,30
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000061,short_straddle,DIA,2022-02-02,2022-03-02,30,2022-03-04,12.75,5845.599976,PRE_EXPIRY_CLOSE,8.997521,0.001539,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000062,put_credit_spread,DIA,2022-02-25,2022-03-25,28,2022-03-25,2.73,1927.0,EARLY_PROFIT_TARGET,271.0,0.140633,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000063,short_straddle,DIA,2022-03-02,2022-03-29,29,2022-03-31,17.25,5055.0,PRE_EXPIRY_CLOSE,-2.8625,-0.000566,27
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000064,put_credit_spread,DIA,2022-03-28,2022-04-22,25,2022-04-22,2.29,1871.0,ITM_NEAR_EXPIRY_ROLL,-246.237599,-0.131607,25
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000065,short_straddle,DIA,2022-03-30,2022-04-27,30,2022-04-29,11.45,5897.399902,PRE_EXPIRY_CLOSE,-44.992253,-0.007629,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000066,put_credit_spread,DIA,2022-04-22,2022-05-18,28,2022-05-20,3.025,1697.5,ITM_NEAR_EXPIRY_ROLL,27.3635,0.01612,26
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000067,short_straddle,DIA,2022-05-02,2022-05-25,25,2022-05-27,17.275,4887.299805,PRE_EXPIRY_CLOSE,89.907003,0.018396,23
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000068,put_credit_spread,DIA,2022-05-23,2022-06-16,25,2022-06-17,2.45,1655.0,ITM_NEAR_EXPIRY_ROLL,-89.166,-0.053877,24
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000069,short_straddle,DIA,2022-05-25,2022-06-22,30,2022-06-24,15.95,4830.599976,PRE_EXPIRY_CLOSE,632.835628,0.131006,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000070,put_credit_spread,DIA,2022-06-17,2022-06-29,28,2022-07-15,1.98,1302.0,EARLY_PROFIT_TARGET,156.9805,0.120569,12
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000071,short_straddle,DIA,2022-06-22,2022-07-20,30,2022-07-22,16.05,4487.199707,PRE_EXPIRY_CLOSE,492.639672,0.109788,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000072,put_credit_spread,DIA,2022-06-29,2022-07-29,30,2022-07-29,2.545,1545.5,EARLY_PROFIT_TARGET,252.5,0.163378,30
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000073,short_straddle,DIA,2022-07-20,2022-08-17,30,2022-08-19,14.1,4964.799805,PRE_EXPIRY_CLOSE,151.822204,0.03058,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000074,put_credit_spread,DIA,2022-07-29,2022-08-26,28,2022-08-26,2.835,1666.5,EARLY_PROFIT_TARGET,281.5,0.168917,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000075,short_straddle,DIA,2022-08-17,2022-09-14,30,2022-09-16,12.45,5559.000244,PRE_EXPIRY_CLOSE,-31.468809,-0.005661,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000076,put_credit_spread,DIA,2022-08-26,2022-09-21,28,2022-09-23,2.025,1297.5,ITM_NEAR_EXPIRY_ROLL,13.90675,0.010718,26
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000077,short_straddle,DIA,2022-09-14,2022-10-12,30,2022-10-14,15.05,4736.199951,PRE_EXPIRY_CLOSE,-21.253742,-0.004488,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000078,put_credit_spread,DIA,2022-09-21,2022-10-21,30,2022-10-21,2.7,1730.0,EARLY_PROFIT_TARGET,268.0,0.154913,30
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000080,put_credit_spread,DIA,2022-10-24,2022-11-02,25,2022-11-18,2.7,1530.0,EARLY_PROFIT_TARGET,264.49825,0.172875,9
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000079,short_straddle,DIA,2022-10-12,2022-11-09,30,2022-11-11,18.35,4008.200073,PRE_EXPIRY_CLOSE,143.884793,0.035898,28
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000081,put_credit_spread,DIA,2022-11-02,2022-11-16,30,2022-12-02,2.19,1081.0,EARLY_PROFIT_TARGET,227.9945,0.210911,14
sim_2019-02-09_2026-05-21_138e7b4fbb82,put_credit_spread_DIA_000083,put_credit_spread,DIA,2022-11-16,2022-11-30,30,2022-12-16,2.315,1268.5,EARLY_PROFIT_TARGET,175.97325,0.138725,14
sim_2019-02-09_2026-05-21_138e7b4fbb82,short_straddle_DIA_000082,short_straddle,DIA,2022-11-09,2022-12-07,30,2022-12-09,16.425,4864.299927,PRE_EXPIRY_CLOSE,46.041466,0.009465,28
