run_id,date,strategy,open_trades,margin_used,equity,margin_utilization
sim_2026-04-01_2026-05-21_06165504517a,2026-05-07,put_credit_spread,1,3133.5,1000541.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-08,short_straddle,0,0.0,1000541.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-08,put_credit_spread,1,3133.5,1000541.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-11,short_straddle,0,0.0,1000541.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-11,put_credit_spread,1,3133.5,1000541.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-12,short_straddle,0,0.0,1000541.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-12,put_credit_spread,1,3133.5,1000541.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-13,short_straddle,0,0.0,1000541.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-13,put_credit_spread,1,3133.5,1000541.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-14,short_straddle,0,0.0,1000541.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-14,put_credit_spread,1,3133.5,1000541.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-15,short_straddle,0,0.0,1000541.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-15,put_credit_spread,1,3133.5,1000541.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-18,short_straddle,0,0.0,1000541.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-18,put_credit_spread,1,3133.5,1000541.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-19,short_straddle,0,0.0,1000541.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-19,put_credit_spread,1,3133.5,1000541.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-20,short_straddle,0,0.0,1000541.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-20,put_credit_spread,1,3133.5,1000541.958,0.003132
sim_2026-04-01_2026-05-21_06165504517a,2026-05-21,short_straddle,0,0.0,1000541.958,0.0
sim_2026-04-01_2026-05-21_06165504517a,2026-05-21,put_credit_spread,1,3133.5,1000541.958,0.003132
